	LTHSC.1	LTHSC.2	LTHSC.3	LTHSC.4	LTHSC.5	LTHSC.6	LTHSC.7	LTHSC.8	LTHSC.9	LTHSC.10	LTHSC.11	LTHSC.12	LTHSC.13	LTHSC.14	LTHSC.15	LTHSC.16	LTHSC.17	LTHSC.18	LTHSC.19	LTHSC.20	LTHSC.21	LTHSC.22	LTHSC.23	LTHSC.24	LTHSC.25	LTHSC.26	LTHSC.27	LTHSC.28	LTHSC.29	LTHSC.30	LTHSC.31	LTHSC.32	LTHSC.33	LTHSC.34	LTHSC.35	LTHSC.36	LTHSC.37	LTHSC.38	LTHSC.39	LTHSC.40	LTHSC.41	LTHSC.42	LTHSC.43	LTHSC.44	LTHSC.45	LTHSC.46	LTHSC.47	LTHSC.48	LTHSC.49	LTHSC.50
Prtn3	8.11410781091192	5.57061786174181	7.86486243047017	3.51375527977252	9.58626109121386	6.54288264026438	3.37132102357255	2.03324417233866	5.79699302083301	8.26686859853348	2.34201506961994	2.6693794254446	7.05424768044788	4.88235016535966	8.69694006867425	7.84573795956193	7.45014706630527	7.00051762613821	8.15111778501864	9.02517695919635	7.91482306154757	4.05544692265567	6.24305838347368	8.48187734513073	8.40496080278601	8.93870241311741	9.55569556203033	3.64334009025824	8.59502992794304	1.86775714163276	9.01055981855329	9.0078028405162	6.16311407340856	7.02519367545792	9.05917850689487	9.43502690658813	6.34791234110205	7.1958899074545	6.25496786837828	5.10044717239839	8.08703203145159	8.69504020361824	3.85571217292271	7.89079528822395	3.03100350382791	7.03124046933362	3.85074106690254	7.04184903871541	8.95993477046633	7.83690649365682
Gmnn	2.79431060257526	8.33201309715954	0	2.36983989453183	3.10793672009724	8.76444473544145	1.28581591341085	9.53344321568829	1.9351195519303	6.98743489322537	1.70538892296946	1.34020493637682	2.82535958000413	3.0221019669637	3.29400937101505	2.16889443877843	2.57718522138222	5.53523019517498	2.79550227732982	3.30584210941915	6.45474463226336	4.48440710682487	0	1.34674341170981	2.28428329627697	2.92025237019618	7.18265217121588	3.20337223970892	0.997554300020128	8.92643806422892	9.98808531878354	0	0	2.0811255728358	0	2.40557121746075	2.07661281416441	0	2.37498978149678	0	1.95684277248099	0	1.32046637386361	1.18745050762379	1.76182146942908	0.869290379276498	2.3300491857154	2.82419798402018	3.17936510493758	2.71195490024261
Zdhhc13	2.79431060257526	3.83722541802099	1.48987351066953	0	1.25442769904152	6.25093903706837	0.781653072803016	5.22286638894251	2.7329629805251	7.61660768025734	8.27132823275672	6.36087796669753	3.18859220263565	1.94463403352079	1.6790118967536	1.45858848576747	1.27462243032525	1.09378913138736	2.31086866317959	0	3.07599079825982	2.35398405341526	0	0	2.28428329627697	8.36850645321093	1.22780387493217	0	2.99571730035743	2.79944108567711	3.21763433690368	2.14573540679245	0.460329275232209	0	2.7561892619517	0.895062630621889	8.34887800599348	0	0	2.23291253941243	6.8615161266897	0	1.32046637386361	0	3.40122641773722	8.91835719562864	9.12126163113559	0	1.22846814583548	2.11478453105817
Sod1	8.0985675522018	9.18901289744311	9.18382035352912	6.50191693748778	8.67140045412538	9.21780715390256	8.99469982858234	11.4672575550491	9.39475283253759	8.45817548206191	9.40127392999151	7.98731526541973	8.27358083909347	8.61238184610987	8.62634177673335	7.50051935498045	9.0984567277279	8.88188041151322	9.31036465041573	6.99627525655208	8.52230203388478	8.87339612269498	8.81953832487413	7.95832921459741	8.50058248889259	9.05155091514791	9.1395814513024	5.08084391272596	8.83746547415853	11.0868234325306	9.56642954999418	9.94756563036097	8.09537305720836	7.5823373859508	8.27123420559811	7.90167727141411	7.69322245242436	8.68429219262074	9.05742272745578	6.74268241952173	8.49691107277033	8.2717327594082	8.1574428398893	7.48036514497433	7.5136152784493	7.38525494648577	8.97879085677928	8.72694370486934	9.21272165149127	8.53437724761387
Lrrn4	0	0	0	0	0	0	0	0	1.52743676925729	5.6752257802136	0	0	0	0	1.6790118967536	0	0.773724179706686	0	0	0	0	0	0	0	0	0	0	1.40174974791195	0	0	0	0	0	0	0	8.25016000603639	0	4.63389183580825	0	0	0	0	0	0	7.05005878005911	0	0	0	1.22846814583548	8.80895887943377
Mrgpre	0	0	0	1.62499868303697	0	7.36617233101308	8.62332347382602	0	0	0	0	0	0	6.9486504927408	0	0	0	0	0	0	0	0	0	0	0	0.590116300441331	0	0	0	0	2.58052211059109	0	0.460329275232209	0	0	0	0	0	0	0	0	3.18694160398455	0	0	0	0	0	1.33373885305582	0	0
Fam105a	1.98859268499811	1.685034616804	0.680667469145265	2.36983989453183	0.759464758228743	0	0	0	0.957072167664857	1.19193662255007	1.23676874188797	0.820433392630413	8.81859842135024	2.39892540841496	0	2.64274315028669	1.64571659004074	1.09378913138736	2.79550227732982	2.44481542954916	2.57413019231015	2.56920163266324	1.73801023059881	0.825123596197195	1.11194349975667	8.83714660768161	0.740755741907091	1.40174974791195	0.997554300020128	6.47736616400364	0	0	1.0892048412023	1.38718940125449	2.7561892619517	1.83958550637163	0	7.94966274007596	0	0	2.75792562016573	3.71810681402877	1.32046637386361	0	3.03100350382791	8.26938976496586	1.22819786149267	0	7.9074083370095	1.68743497995824
Paip2b	1.31280947006219	6.58894976431493	1.48987351066953	3.22306342876753	6.2446805516025	2.14284130078266	0.781653072803016	0.471609226479629	0.957072167664857	1.83559438245591	1.89274151708825	0.820433392630413	0	1.94463403352079	6.67660507420907	1.45858848576747	1.64571659004074	2.13849211172478	2.31086866317959	1.68808183436461	1.79807507476446	2.92214941082379	2.50372924607337	0	1.73237007118547	1.81837632218652	6.88793852877923	0	0.997554300020128	0	1.41170848860352	5.71087987554352	1.0892048412023	2.0811255728358	7.14999385050533	0	2.07661281416441	0	3.22876374456087	1.15937522308033	7.93391898147582	4.10547419726411	2.80526629551527	2.88508538303354	3.03100350382791	7.19486015065748	3.37839946114327	2.47551333772625	2.33042696284621	2.71195490024261
Tead3	0	0	0	0	0	0	0	0	0	0	3.39189239864889	0	0	4.81092175517389	0	0	0	0	6.55616437310338	0	0	0	0	0	0	0.590116300441331	0	0	0	0	0	0	0.460329275232209	0	0	0	0	0	0	0	0	5.22806930409644	1.32046637386361	0	0	0	2.3300491857154	0	0	1.07752860463315
Lppr3	0	2.44120783052644	1.14127734767848	2.36983989453183	6.74157424693798	3.87432860284166	6.86758793181482	0	0.957072167664857	4.51336859158284	0.538273609134536	1.34020493637682	4.26781439312293	1.94463403352079	5.62777853448501	7.35403404820111	6.11121990864734	4.87570474707453	7.16616739019818	6.49010794299209	0	1.40323301959333	1.73801023059881	0	0.472094735381451	1.33119171927287	1.22780387493217	2.09910560344277	7.61718115895022	5.25153222935422	5.09636344061812	2.97275798780294	0.460329275232209	7.9832617133832	9.48710367345245	1.44327841884737	2.89458771332169	9.35522815714375	0	1.79377669719658	1.2875062125702	0	2.45743799529192	6.41472654926662	0	0.869290379276498	1.88185381389216	0	7.84134859435172	4.04839737390329
Hdgf	7.75632965344024	6.80444154871094	1.48987351066953	4.70116232860392	8.00374976765993	8.28486651845484	7.97708374556572	10.5192270152285	1.9351195519303	7.72569419217405	9.52686823155044	8.2530284459605	8.63195522733853	8.15236301972114	7.87295848941521	5.42497044143828	3.85637540404041	6.06159572273179	5.71434518598531	9.56757103658234	6.68060464256379	6.09681826559869	8.2838035551367	7.83210468927511	4.50327462201206	3.26171999584419	8.49727054249388	3.82148038443711	6.37020295986569	10.4285217134645	5.71358952517275	4.64248464646062	8.36741336602865	3.41874538211907	7.77959820471997	2.81102588790488	2.89458771332169	1.86692669209532	6.17361648157983	7.3883352005931	4.58837993401858	4.87645519217087	8.02271190020509	7.86730866226124	3.03100350382791	7.34913322579346	8.48449777879027	8.56261076525038	3.55402943140712	6.47123628142403
Zfp655	0	1.685034616804	0	3.22306342876753	5.54624384949276	0	4.92993680545458	5.69074804559449	0	3.12226731218638	0.538273609134536	2.02281010137383	10.0053816035385	3.0221019669637	2.92718667465933	2.16889443877843	7.46180955528272	1.70870699118727	1.57575220513395	3.30584210941915	7.97288491958944	3.44222936960167	2.50372924607337	1.34674341170981	1.34964167848499	9.7132243981359	1.22780387493217	2.09910560344277	1.58170064520745	0.733277872112113	4.69531497640649	8.15628412091698	1.0892048412023	2.54771095367706	7.02803976132757	5.40139665154773	2.07661281416441	0	0	1.15937522308033	0	2.33725204080983	1.32046637386361	0	0	0	0	8.56261076525038	0	2.11478453105817
